"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"12",1,0.958,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"1/-1"
"12",1,0.943,3,3.5,2.35,2.25,0.906764700582363,"1/-1"
"12",1,0.993,3,2.87500000000001,1.9625,2,0.731365731582589,"1/-1"
"12",1,0.959,2,3.5,2.05,2,0.895978670381042,"1/-1"
"12",1,0.982,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"1/-1"
"12",1,0.966,3,4,2.31666666666666,2.25,0.924461805392537,"1/-1"
"12",1,0.966,4,5.5,3.3,3.25,1.3984117975602,"1/-1"
"12",1,0.922,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"1/-1"
"12",1,0.982,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"1/-1"
"12",1,0.974,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"1/-1"
"12",1,0.971,3,3.5,1.83333333333333,2,0.838870492807862,"1/-1"
"12",1,0.974,3,4,2.66666666666667,3,1.12216721537356,"1/-1"
"12",1,0.979,2,3,1.93333333333333,2,0.712325352214427,"1/-1"
"12",1,0.99,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"1/-1"
"12",1,0.981,3,4,2.5,2.5,0.849836585598798,"1/-1"
"12",1,0.986,2,3.5,2.1625,2.25,0.920541054670205,"1/-1"
"12",1,0.973,4,4,2.15,2,1.15590272562665,"1/-1"
"12",1,0.965,3,3.25,1.98333333333333,2,0.815361769286992,"1/-1"
"12",1,0.966,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"1/-1"
"12",1,0.969,4,5,2.7,2.5,1.33749350984926,"1/-1"
"12",1,0.965,2,3,2,2,0.816496580927724,"1/-1"
"12",1,0.418,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"1/-5"
"12",1,0.551,2,3,2.11666666666667,2,0.711675123551106,"1/-5"
"12",1,0.653,3,3.25,2.225,2,0.820314980154981,"1/-5"
"12",1,0.811,3,4,2.36666666666667,2.25,0.977525219907679,"1/-5"
"12",1,0.571,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"1/-5"
"12",1,0.622,3,3.5,2.35,2.25,0.906764700582363,"1/-5"
"12",1,0.582,3,2.87500000000001,1.9625,2,0.731365731582589,"1/-5"
"12",1,0.435,2,3.5,2.05,2,0.895978670381042,"1/-5"
"12",1,0.63,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"1/-5"
"12",1,0.622,3,4,2.31666666666666,2.25,0.924461805392537,"1/-5"
"12",1,0.587,4,5.5,3.3,3.25,1.3984117975602,"1/-5"
"12",1,0.39,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"1/-5"
"12",1,0.481,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"1/-5"
"12",1,0.528,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"1/-5"
"12",1,0.649,3,3.5,1.83333333333333,2,0.838870492807862,"1/-5"
"12",1,0.452,3,4,2.66666666666667,3,1.12216721537356,"1/-5"
"12",1,0.489,2,3,1.93333333333333,2,0.712325352214427,"1/-5"
"12",1,0.488,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"1/-5"
"12",1,0.878,3,4,2.5,2.5,0.849836585598798,"1/-5"
"12",1,0.485,2,3.5,2.1625,2.25,0.920541054670205,"1/-5"
"12",1,0.467,4,4,2.15,2,1.15590272562665,"1/-5"
"12",1,0.514,3,3.25,1.98333333333333,2,0.815361769286992,"1/-5"
"12",1,0.605,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"1/-5"
"12",1,0.516,4,5,2.7,2.5,1.33749350984926,"1/-5"
"12",1,0.626,2,3,2,2,0.816496580927724,"1/-5"
"12",1,0.213,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"1/-10"
"12",1,0.278,2,3,2.11666666666667,2,0.711675123551106,"1/-10"
"12",1,0.363,3,3.25,2.225,2,0.820314980154981,"1/-10"
"12",1,0.686,3,4,2.36666666666667,2.25,0.977525219907679,"1/-10"
"12",1,0.287,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"1/-10"
"12",1,0.412,3,3.5,2.35,2.25,0.906764700582363,"1/-10"
"12",1,0.292,3,2.87500000000001,1.9625,2,0.731365731582589,"1/-10"
"12",1,0.187,2,3.5,2.05,2,0.895978670381042,"1/-10"
"12",1,0.312,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"1/-10"
"12",1,0.336,3,4,2.31666666666666,2.25,0.924461805392537,"1/-10"
"12",1,0.314,4,5.5,3.3,3.25,1.3984117975602,"1/-10"
"12",1,0.164,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"1/-10"
"12",1,0.177,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"1/-10"
"12",1,0.252,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"1/-10"
"12",1,0.4,3,3.5,1.83333333333333,2,0.838870492807862,"1/-10"
"12",1,0.167,3,4,2.66666666666667,3,1.12216721537356,"1/-10"
"12",1,0.258,2,3,1.93333333333333,2,0.712325352214427,"1/-10"
"12",1,0.195,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"1/-10"
"12",1,0.799,3,4,2.5,2.5,0.849836585598798,"1/-10"
"12",1,0.205,2,3.5,2.1625,2.25,0.920541054670205,"1/-10"
"12",1,0.175,4,4,2.15,2,1.15590272562665,"1/-10"
"12",1,0.228,3,3.25,1.98333333333333,2,0.815361769286992,"1/-10"
"12",1,0.349,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"1/-10"
"12",1,0.25,4,5,2.7,2.5,1.33749350984926,"1/-10"
"12",1,0.369,2,3,2,2,0.816496580927724,"1/-10"
"12",2,0.31,3,4,2.48333333333334,2.5,1.01059205236154,"10/-1"
"12",2,0.498,2,3.33333333333334,2.23333333333333,2.00000000000001,0.832221480492179,"10/-1"
"12",2,0.243,3,4,2.675,3,1.10585562650224,"10/-1"
"12",2,0.225,3,4.375,2.8125,3,1.1475366128267,"10/-1"
"12",2,0.288,2,3.5,2.11666666666667,2,0.926462807312487,"10/-1"
"12",2,0.181,3,4,2.32222222222222,2.33333333333333,1.09675916154651,"10/-1"
"12",2,0.346,3,4.25,2.65,2.75,0.936897954837013,"10/-1"
"12",2,0.638,3,3.875,2.3125,2.25,0.919031041671366,"10/-1"
"12",2,0.425,2,3.5,2.23333333333333,2.33333333333334,0.972460288312938,"10/-1"
"12",2,0.223,4,5,3.45,3.75000000000001,1.25720147770974,"10/-1"
"12",2,0.213,4,5.00000000000001,3.55000000000001,3.75000000000001,1.34267560407486,"10/-1"
"12",2,0.316,3,3,1.9,2,0.843274042711568,"10/-1"
"12",2,0.49,2,3.33333333333333,2.16666666666667,2,0.789592800197327,"10/-1"
"12",2,0.411,3,4,2.6,2.75,1.04880884817015,"10/-1"
"12",2,0.147,3,3.75,2.475,2.25,1.05046286094379,"10/-1"
"12",2,0.229,3,3.49999999999999,2.20833333333334,2.25000000000001,0.961648854061876,"10/-1"
"12",2,0.197,5,4.5,2.68333333333333,2.66666666666667,1.21067780220038,"10/-1"
"12",2,0.097,2,3.33333333333333,2.13333333333334,2,0.918936583472683,"10/-1"
"12",2,0.228,2,3,1.93333333333333,2,0.750308578494849,"10/-1"
"12",2,0.126,3,3.5,2.20833333333333,2.16666666666667,0.971229652058171,"10/-1"
"12",2,0.221,3,3.5,2.35,2.25,0.914391114956346,"10/-1"
"12",2,0.21,3,3.11111111111111,2.04444444444444,2,0.838379781743461,"10/-1"
"12",2,0.155,5,6,3.45,3.25,1.57144660884309,"10/-1"
"12",2,0.367,3,3.83333333333333,2.25,2.33333333333333,1.00998105348321,"10/-1"
"12",2,0.462,4,4.66666666666665,2.91666666666667,3,1.2453617650811,"10/-1"
"12",2,0.232,3,4,2.48333333333334,2.5,1.01059205236154,"10/-5"
"12",2,0.347,2,3.33333333333334,2.23333333333333,2.00000000000001,0.832221480492179,"10/-5"
"12",2,0.338,3,4,2.675,3,1.10585562650224,"10/-5"
"12",2,0.354,3,4.375,2.8125,3,1.1475366128267,"10/-5"
"12",2,0.386,2,3.5,2.11666666666667,2,0.926462807312487,"10/-5"
"12",2,0.304,3,4,2.32222222222222,2.33333333333333,1.09675916154651,"10/-5"
"12",2,0.317,3,4.25,2.65,2.75,0.936897954837013,"10/-5"
"12",2,0.45,3,3.875,2.3125,2.25,0.919031041671366,"10/-5"
"12",2,0.381,2,3.5,2.23333333333333,2.33333333333334,0.972460288312938,"10/-5"
"12",2,0.384,4,5,3.45,3.75000000000001,1.25720147770974,"10/-5"
"12",2,0.278,4,5.00000000000001,3.55000000000001,3.75000000000001,1.34267560407486,"10/-5"
"12",2,0.356,3,3,1.9,2,0.843274042711568,"10/-5"
"12",2,0.353,2,3.33333333333333,2.16666666666667,2,0.789592800197327,"10/-5"
"12",2,0.438,3,4,2.6,2.75,1.04880884817015,"10/-5"
"12",2,0.27,3,3.75,2.475,2.25,1.05046286094379,"10/-5"
"12",2,0.35,3,3.49999999999999,2.20833333333334,2.25000000000001,0.961648854061876,"10/-5"
"12",2,0.327,5,4.5,2.68333333333333,2.66666666666667,1.21067780220038,"10/-5"
"12",2,0.194,2,3.33333333333333,2.13333333333334,2,0.918936583472683,"10/-5"
"12",2,0.272,2,3,1.93333333333333,2,0.750308578494849,"10/-5"
"12",2,0.171,3,3.5,2.20833333333333,2.16666666666667,0.971229652058171,"10/-5"
"12",2,0.276,3,3.5,2.35,2.25,0.914391114956346,"10/-5"
"12",2,0.146,3,3.11111111111111,2.04444444444444,2,0.838379781743461,"10/-5"
"12",2,0.365,5,6,3.45,3.25,1.57144660884309,"10/-5"
"12",2,0.339,3,3.83333333333333,2.25,2.33333333333333,1.00998105348321,"10/-5"
"12",2,0.423,4,4.66666666666665,2.91666666666667,3,1.2453617650811,"10/-5"
"12",2,0.156,3,4,2.48333333333334,2.5,1.01059205236154,"10/-10"
"12",2,0.25,2,3.33333333333334,2.23333333333333,2.00000000000001,0.832221480492179,"10/-10"
"12",2,0.249,3,4,2.675,3,1.10585562650224,"10/-10"
"12",2,0.266,3,4.375,2.8125,3,1.1475366128267,"10/-10"
"12",2,0.328,2,3.5,2.11666666666667,2,0.926462807312487,"10/-10"
"12",2,0.269,3,4,2.32222222222222,2.33333333333333,1.09675916154651,"10/-10"
"12",2,0.252,3,4.25,2.65,2.75,0.936897954837013,"10/-10"
"12",2,0.332,3,3.875,2.3125,2.25,0.919031041671366,"10/-10"
"12",2,0.246,2,3.5,2.23333333333333,2.33333333333334,0.972460288312938,"10/-10"
"12",2,0.323,4,5,3.45,3.75000000000001,1.25720147770974,"10/-10"
"12",2,0.244,4,5.00000000000001,3.55000000000001,3.75000000000001,1.34267560407486,"10/-10"
"12",2,0.241,3,3,1.9,2,0.843274042711568,"10/-10"
"12",2,0.241,2,3.33333333333333,2.16666666666667,2,0.789592800197327,"10/-10"
"12",2,0.371,3,4,2.6,2.75,1.04880884817015,"10/-10"
"12",2,0.201,3,3.75,2.475,2.25,1.05046286094379,"10/-10"
"12",2,0.242,3,3.49999999999999,2.20833333333334,2.25000000000001,0.961648854061876,"10/-10"
"12",2,0.289,5,4.5,2.68333333333333,2.66666666666667,1.21067780220038,"10/-10"
"12",2,0.132,2,3.33333333333333,2.13333333333334,2,0.918936583472683,"10/-10"
"12",2,0.217,2,3,1.93333333333333,2,0.750308578494849,"10/-10"
