"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"0.12",1,0.303,3,4,2.26,2.4,1.0319345371141,"1/-10"
"0.12",1,0.592,1,2.5,1.35,1,0.579750904364203,"1/-10"
"0.12",1,0.297,3,2.57777777777778,1.56333333333333,1.25,0.648831973188351,"1/-10"
"0.12",1,0.996,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"1/-10"
"0.12",1,0.056,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"1/-10"
"0.12",1,0.391,3,2.9,1.644,1,0.847626752238928,"1/-10"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"1/-10"
"0.12",1,0.223,2,2.25,0.87468112244898,1,1.01154137052087,"1/-10"
"0.12",1,0.286,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"1/-10"
"0.12",1,0.323,4,3.8,2.14,2,1.13548814759703,"1/-10"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"1/-10"
"0.12",1,0.125,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"1/-10"
"0.12",1,0.347,2,2.2,1.42,1,0.545282801244761,"1/-10"
"0.12",1,0.797,1,2.33333333333333,1.51666666666667,1.41666666666667,0.558049955726563,"1/-10"
"0.12",2,0.896,2,2.25,1.525,1.5,0.558395518925031,"10/-1"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"10/-1"
"0.12",2,0.086,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"10/-1"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"10/-1"
"0.12",2,0.026,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"10/-1"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"10/-1"
"0.12",2,0.446,2,3.25,1.825,2,0.799739540934005,"10/-1"
"0.12",2,0.695,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"10/-1"
"0.12",2,0.626,6,14.5,7.6,7.75,5.34659808767323,"10/-1"
"0.12",2,0.798,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"10/-1"
"0.12",2,0.892,2,3,1.55,1.25,0.685160159703148,"10/-1"
"0.12",2,0.02,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"10/-1"
"0.12",2,0.412,1,2.1875,1.1125,1,0.764217101207358,"10/-1"
"0.12",2,0.167,2,4.5,2.65,3,1.24833222073827,"10/-1"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"10/-1"
"0.12",2,0.669,2,2.25,1.525,1.5,0.558395518925031,"10/-5"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"10/-5"
"0.12",2,0.273,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"10/-5"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"10/-5"
"0.12",2,0.234,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"10/-5"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"10/-5"
"0.12",2,0.212,2,3.25,1.825,2,0.799739540934005,"10/-5"
"0.12",2,0.53,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"10/-5"
"0.12",2,0.789,6,14.5,7.6,7.75,5.34659808767323,"10/-5"
"0.12",2,0.711,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"10/-5"
